Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
1773,"1773.41119","Mycobacterium tuberculosis 705587","rifabutin","Susceptible","0.06",,"0.06","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41969","Mycobacterium tuberculosis 726777","kanamycin","Resistant","16",,"16","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41038","Mycobacterium tuberculosis 704212","kanamycin","Susceptible","2",,"2","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41680","Mycobacterium tuberculosis 718468","moxifloxacin","Resistant",">4",">","4","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.40695","Mycobacterium tuberculosis 21594","isoniazid","Susceptible","0.025",,"0.025","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41526","Mycobacterium tuberculosis 716097","ethambutol","Resistant","2",,"2","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41006","Mycobacterium tuberculosis 703592","moxifloxacin","Susceptible","0.06",,"0.06","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.42254","Mycobacterium tuberculosis 732456","amikacin","Susceptible","<=0.25","<=","0.25","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.40691","Mycobacterium tuberculosis 633541","kanamycin","Susceptible","1",,"1","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.40677","Mycobacterium tuberculosis 632635","ethambutol","Susceptible","1",,"1","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41275","Mycobacterium tuberculosis 708494","delamanid","Susceptible","0.015",,"0.015","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.42116","Mycobacterium tuberculosis 730912","kanamycin","Susceptible","<=1","<=","1","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
28901,"28901.24516","Salmonella enterica JLS148","gentamicin","Susceptible","<1","<","1","mg/L","MIC",,,,"CLSI",2021,,,,"Laboratory Method",,"35651495"
1773,"1773.41532","Mycobacterium tuberculosis 716455","isoniazid","Resistant",">1.6",">","1.6","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
573,"573.66486","Klebsiella pneumoniae 27261_8#107","ampicillin","Resistant",">=32",">=","32","mg/L","MIC",,,"BioMerieux",,,,,,"Laboratory Method",,"36801013"
28901,"28901.24548","Salmonella enterica JLS7","trimethoprim/sulfamethoxazole","Susceptible","0.5/9.5",,"0.5/9.5","mg/L","MIC",,,,"CLSI",2021,,,,"Laboratory Method",,"35651495"
1773,"1773.40930","Mycobacterium tuberculosis 701848","clofazimine","Susceptible","0.125",,"0.125","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.40670","Mycobacterium tuberculosis 632664","levofloxacin","Resistant","0.5",,"0.5","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.42570","Mycobacterium tuberculosis 804265","para-aminosalicylic acid","Susceptible","<=0.125","<=","0.125","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.40843","Mycobacterium tuberculosis 700009","delamanid","Susceptible","0.015",,"0.015","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41494","Mycobacterium tuberculosis 715684","ethionamide","Resistant","2",,"2","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41467","Mycobacterium tuberculosis 715192","amikacin","Susceptible","0.5",,"0.5","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
573,"573.66432","Klebsiella pneumoniae 27097_7#62","ertapenem","Resistant",">=8",">=","8","mg/L","MIC",,,"BioMerieux",,,,,,"Laboratory Method",,"36801013"
1773,"1773.41452","Mycobacterium tuberculosis 714823","ethionamide","Resistant","2",,"2","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
573,"573.66303","Klebsiella pneumoniae 26975_5#64","amikacin","Susceptible","4",,"4","mg/L","MIC",,,"BioMerieux",,,,,,"Laboratory Method",,"36801013"
1773,"1773.42330","Mycobacterium tuberculosis 734196","bedaquiline","Susceptible","0.03",,"0.03","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.40768","Mycobacterium tuberculosis 632401","rifampin","Resistant",">4",">","4","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41140","Mycobacterium tuberculosis 706113","moxifloxacin","Resistant","2",,"2","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41170","Mycobacterium tuberculosis 706469","linezolid","Susceptible","0.25",,"0.25","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.40983","Mycobacterium tuberculosis 702992","bedaquiline","Susceptible","0.03",,"0.03","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.40945","Mycobacterium tuberculosis 702214","rifampin","Resistant",">4",">","4","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
28901,"28901.24341","Salmonella enterica 081_2015","chloramphenicol","Susceptible","<2","<","2","mg/L","MIC",,,,"CLSI",2021,,,,"Laboratory Method",,"35651495"
487,"487.4615","Neisseria meningitidis NIID700","penicillin","Susceptible","0.064",,"0.064","mg/L","MIC",,,"BioMerieux","CLSI",2020,,,,"Laboratory Method",,"37874301"
1773,"1773.42436","Mycobacterium tuberculosis 800086","ethambutol","Resistant","8",,"8","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.43732","Mycobacterium tuberculosis 734426","ethambutol","Susceptible","1",,"1","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.40858","Mycobacterium tuberculosis 700372","levofloxacin","Resistant","0.5",,"0.5","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41254","Mycobacterium tuberculosis 708074","isoniazid","Susceptible","0.025",,"0.025","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.42005","Mycobacterium tuberculosis 727512","delamanid","Susceptible","0.03",,"0.03","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41668","Mycobacterium tuberculosis 717670","para-aminosalicylic acid","Susceptible","0.5",,"0.5","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41474","Mycobacterium tuberculosis 715466","bedaquiline","Susceptible","0.06",,"0.06","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41749","Mycobacterium tuberculosis 720040","kanamycin","Susceptible","<=1","<=","1","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.40873","Mycobacterium tuberculosis 700668","kanamycin","Susceptible","2",,"2","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41765","Mycobacterium tuberculosis 720348","moxifloxacin","Resistant","0.5",,"0.5","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41916","Mycobacterium tuberculosis 725422","linezolid","Susceptible","0.5",,"0.5","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.42047","Mycobacterium tuberculosis 728615","rifampin","Susceptible","<=0.06","<=","0.06","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41048","Mycobacterium tuberculosis 704448","levofloxacin","Resistant","0.5",,"0.5","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41708","Mycobacterium tuberculosis 718792","para-aminosalicylic acid","Susceptible","1",,"1","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41048","Mycobacterium tuberculosis 704448","bedaquiline","Susceptible","0.06",,"0.06","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
28901,"28901.24373","Salmonella enterica 163_2015","trimethoprim/sulfamethoxazole","Susceptible","<0.25/4.75","<","0.25/4.75","mg/L","MIC",,,,"CLSI",2021,,,,"Laboratory Method",,"35651495"
1773,"1773.41954","Mycobacterium tuberculosis 726443","ethambutol","Susceptible","1",,"1","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
